distance,angle,is_header,under_pressure,is_open_play,is_goal,shot_statsbomb_xg,player,team,x,y
24.796975622039074,28.942391591717506,0,0,0,0,0.064184494,Lionel Andrés Messi Cuccittini,Barcelona,98.3,52.0
9.848857801796104,23.962488974578186,1,1,0,0,0.091646455,Víctor Ruíz Torre,Real Betis,111.0,44.0
23.672980378482137,14.681967741393608,0,0,0,0,0.041051574,Sergio Canales Madrazo,Real Betis,97.1,46.0
20.106217943710845,29.49746120836838,0,0,1,1,0.051537734,Francisco António Machado Mota de Castro Trincão,Barcelona,102.5,49.9
80.20280543721647,4.075437197686485,0,0,0,0,0.004130807,Jonathan Calleri,Osasuna,40.0,45.7
20.011246837716033,8.33256009637417,0,0,1,0,0.057224557,Enrique Barja Afonso,Osasuna,100.2,42.9
6.896375859826661,16.858398767738294,1,0,0,0,0.22981732,Jonathan Calleri,Osasuna,113.4,38.0
18.87988347421668,7.915512423026586,0,1,0,0,0.07305303,Lionel Andrés Messi Cuccittini,Barcelona,101.3,42.6
11.772000679578642,61.03994330604966,0,0,1,0,0.12096324,Jonathan Calleri,Osasuna,114.3,29.7
12.500399993600205,0.45835645800043795,1,1,0,0,0.04363723,Antoine Griezmann,Barcelona,107.5,40.1
13.669308687713512,59.68321975239602,0,0,0,1,0.1538112,Jordi Alba Ramos,Barcelona,113.1,28.2
12.840560735419615,52.594643368591456,0,0,1,0,0.30000883,Rubén García Santos,Osasuna,112.2,29.8
17.50114281982751,0.6547804022677095,1,1,1,0,0.025620336,Jonathan Calleri,Osasuna,102.5,40.2
26.51867266663247,29.85207626918268,0,0,1,0,0.027122034,Lionel Andrés Messi Cuccittini,Barcelona,97.0,26.8
21.12060605191054,24.62356478616361,0,0,1,0,0.03751865,Lionel Andrés Messi Cuccittini,Barcelona,100.8,31.2
26.67601919327544,16.328935554952086,0,0,1,0,0.028897893,Lionel Andrés Messi Cuccittini,Barcelona,94.4,47.5
24.20185943269649,0.7102418770606177,0,0,0,0,0.048145216,Ousmane Dembélé,Barcelona,95.8,40.3
21.0304541082688,32.17865620660109,0,0,1,0,0.045629695,Sergino Dest,Barcelona,102.2,51.2
14.176741515595184,49.0041729407094,0,0,0,0,0.15424673,Frenkie de Jong,Barcelona,110.7,50.7
8.766413177577242,11.181754210196702,1,1,0,0,0.17912224,Jonathan Calleri,Osasuna,111.4,38.3
27.925973573001897,15.579023553750863,0,0,0,0,0.026436986,Pedro González López,Barcelona,93.1,32.5
10.42161215935423,64.4184707420611,0,0,0,0,0.18142118,Jordi Alba Ramos,Barcelona,115.5,30.6
10.818964830333814,45.37447688672286,0,0,1,0,0.1681818,Lionel Andrés Messi Cuccittini,Barcelona,112.4,47.7
18.339302058693505,3.7517290705259843,0,0,1,1,0.068824455,Moriba Kourouma Kourouma,Barcelona,101.7,41.2
14.101418368376985,0.8126515942537487,0,0,1,0,0.072080754,Ante Budimir,Osasuna,105.9,39.8
19.637973418863773,34.41836447905621,0,0,0,0,0.06182509,Adrián López Álvarez,Osasuna,103.8,51.1
7.596051605933175,16.049004792533214,1,1,0,0,0.15743414,David García Zubiría,Osasuna,112.7,37.9
